id	bpm	root	scale	group	split	license	md5	sha256
1234750.LOFI.mp3	142.0	2	natural_minor	1234750.LOFI	test	research-preview	6a7c1bb3da246fad02436d74743cc392	e014cb8c75bae9931f2a5ff6da3f251217d68bcef8197466c08c8c3e7d408b28
3480108.LOFI.mp3	130.0	6	natural_minor	3480108.LOFI	test	research-preview	55a24a41c248abc4999cc596caa5b6d2	442fe5bbdba26844ceb91b298a92ba7c46a5693a2b3c23805cf078f9961b41cf
5079918.LOFI.mp3	139.0	8	natural_minor	5079918.LOFI	test	research-preview	46c5d88a4cb020893061bf0136b197b1	9d1ca3cd7068d41afdc344bd1f62224115caa5af18dd150c1de671f5c5639e9e
4014749.LOFI.mp3	121.0	0	natural_minor	4014749.LOFI	test	research-preview	4809cae5cd39aeb4fd3a7fa1e97f316a	96083675e1fa47847f69846c87e01327d3dd31f6201b1dabd588384eabab004b
5081990.LOFI.mp3	85.0	6	natural_minor	5081990.LOFI	test	research-preview	08649827af68bfddfcb550d5528c5557	5b3beb85467024b26f5e082049e3cf9d0a5986bdd29d6b822bd888ef87586449
3535112.LOFI.mp3	129.0	10	natural_minor	3535112.LOFI	test	research-preview	7d7fa23e27752608bb1d74d6c4537754	de28f9f1f30cc8ef80eca5180800b3d5a3aa1c09a6c42d305be1177f5e0e7c8a
3574815.LOFI.mp3	139.0	9	natural_minor	3574815.LOFI	test	research-preview	62ee14ceb5aaf69e4838e100d751a078	6e152f32c346f32c9de6e815c255d6b38349d033a96cf89f1ff2e0bf8636d420
4723905.LOFI.mp3	142.0	5	natural_minor	4723905.LOFI	test	research-preview	4554704649929a2a7889b87cdb1b0e9b	9620ec0668ac17bef2611c0c751dd95640ca920c83fd58cbf69cb278d2f8c447
4315749.LOFI.mp3	130.0	5	natural_minor	4315749.LOFI	test	research-preview	d412f03489709c292ac8a0b4ca640390	5b0adf37f19d25403ad63b564b53564df4002f233da16b1d61c498ac2354d24c
4275052.LOFI.mp3	127.0	2	major	4275052.LOFI	test	research-preview	e0d1f3aef2f68d82843e816de2809fa2	d93a36d01ef80ac043ba422c254bd28719d174a33ba3d211d546352c5780d7b9
5073839.LOFI.mp3	174.0	11	major	5073839.LOFI	test	research-preview	33699b1e3490da8ba6018c3463dd12be	421159c15a39dc1ee9e3d62680f2aca1560c2b2b5e08f5e617c80bfb40f5aa8a
4014747.LOFI.mp3	121.0	0	natural_minor	4014747.LOFI	test	research-preview	58a7ff36074fa1c3675b8fe9adaa0124	a7264c300b30d7f007166b109953c170d1f18af5436684e4420566d79479f682
3482733.LOFI.mp3	174.0	7	natural_minor	3482733.LOFI	test	research-preview	866b17855326a51f01a7a79de662f88c	36b76cabf6948191d2184120e82ab15f3913a09269f1d0f05ffda6b7d2af47b4
2725284.LOFI.mp3	174.0	7	natural_minor	2725284.LOFI	test	research-preview	52f552d2d8c7b79d36ce4e353f85fd2e	dd6ca7053c8f6a759ffa4958f361d6e25a87ac337beda10e1ed3ca5e91f7200d
3892740.LOFI.mp3	129.0	2	major	3892740.LOFI	test	research-preview	0bb026f6fcff6b88b7d8004c8c797047	39e07be68d8df454983c3ce6081e3421c2cb2b3b13f33da21428187a06a20397
4399289.LOFI.mp3	174.0	0	major	4399289.LOFI	test	research-preview	e96670b862494273cc5d72fbeb3f975e	f043c8b0e172340956f1c66ce1bc1cf702b60172cff194b1d8ee67817cf21825
3914630.LOFI.mp3	86.0	6	major	3914630.LOFI	test	research-preview	7b2cbf2870605bd8339f66063ba7a9b4	ff2d8e87b39d74862de48e306ee87bf055e938fe1c6bc7b122c65607117dde54
3629920.LOFI.mp3	174.0	7	natural_minor	3629920.LOFI	test	research-preview	2eb84c90169779ccdee3782293e86ec7	f3d3ca6ec065b0eee2867ef4f028d1af58b8d10fdc8e98519ff014e81ac49b1d
4107957.LOFI.mp3	93.0	1	natural_minor	4107957.LOFI	test	research-preview	75ac333d0c6074deb01177d96dc62f14	60cbca9bc9516cd65b14a6a3938402cd5327225f2a22ccab45f515ec3785abcd
4661735.LOFI.mp3	160.0	7	natural_minor	4661735.LOFI	test	research-preview	85a1a536cf6f15703f8384dc5858506a	40f4bce5fa4c311d040c85504bfd730078674af01fbf645ba9f9f8da93f4d7ab
4166222.LOFI.mp3	123.0	4	natural_minor	4166222.LOFI	test	research-preview	5913a45d2d247d451801effad19bbdd6	9bb43d11141531745e3244c19ad1d998f5d0b520249ada453861672807fe6f6f
2725286.LOFI.mp3	174.0	7	natural_minor	2725286.LOFI	test	research-preview	f5c340a7bdd7c54b0865a77046cbb9ff	5ca9b73979007f817a920e2347203a5445c066d182d923536c279b35e4e4ba67
2676506.LOFI.mp3	127.0	0	natural_minor	2676506.LOFI	test	research-preview	3ab6fd66558e393c7fb75b718f6550e8	bc9b8a0e7423dd61e89c6638e25e6d96ce06bbf878b28129e0449fdcb433cb43
4566667.LOFI.mp3	129.0	6	natural_minor	4566667.LOFI	test	research-preview	948d1bc2a88e415c7e1ed9d9f557f25a	c5be19ea4a6d2582849eb260e2032073b554af349a3d51324d31bb04293de83a
5431709.LOFI.mp3	87.0	0	natural_minor	5431709.LOFI	test	research-preview	55b456abe8aedb1933398355ecd74bea	8217d7118d05a62c2152bbca10b20998bcb6d2d1fbfa13be13843f8e4942aea1
3703893.LOFI.mp3	125.0	4	major	3703893.LOFI	test	research-preview	fdf64a72edc8426ea4aa97aadc48e3f2	e54f65f595458ff5bcc06954136f83dfdc076dec03c9dfc12136e05e67f0d558
4018247.LOFI.mp3	96.0	7	natural_minor	4018247.LOFI	test	research-preview	c529c6c3622dc1e9bf2d856d3daee7bb	b3441befcb61a280a16377b808b28040a3ba342610210f351a148efdcfb15c4f
907837.LOFI.mp3	174.0	7	natural_minor	907837.LOFI	test	research-preview	7d1d7317984df947d3565cb34bd98db0	aa60bb26613b48758b4bb1c253b51cbc1547e23afc2c2c1aa4aaf077024871b4
